"Mes","Dia","Ano","Hora","Minutos","Dia da semana","free_flow_distance","total_time","total_speed","length_in_meters","delay_in_seconds","incidente","temperature","atmospheric_pressure","humidity","wind_speed","cloudiness","no_rain","chuva_fraca","chuva","chuva_trovoada","chuva_intensa","diif_ranker"
7,25,2018,10,0,4,5561.0,83.0,67.0,0,0,0,21,1016,83,2,40,1,0,0,0,0,0.0
7,25,2018,10,0,4,1720.0,40.0,43.0,0,0,0,21,1016,83,2,40,1,0,0,0,0,0.0
7,25,2018,11,0,4,351.0,9.0,39.0,0,0,0,20,1016,88,3,75,1,0,0,0,0,0.0
7,25,2018,11,0,4,5561.0,83.0,67.0,0,0,0,20,1016,88,3,75,1,0,0,0,0,0.0
7,25,2018,11,0,4,1720.0,40.0,43.0,0,0,0,20,1016,88,3,75,1,0,0,0,0,0.0
7,25,2018,12,0,4,351.0,9.0,39.0,0,0,0,20,1015,88,3,75,1,0,0,0,0,0.0
7,25,2018,12,0,4,5561.0,83.0,67.0,0,0,0,20,1015,88,3,75,1,0,0,0,0,0.0
7,25,2018,12,0,4,1720.0,75.0,22.933333333333334,0,0,0,20,1015,88,3,75,1,0,0,0,0,20.066666666666666
7,25,2018,13,0,4,351.0,9.0,39.0,0,0,0,20,1015,88,2,75,1,0,0,0,0,0.0
7,25,2018,13,0,4,5561.0,83.0,67.0,0,0,0,20,1015,88,2,75,1,0,0,0,0,0.0
7,25,2018,13,0,4,1720.0,40.0,43.0,0,0,0,20,1015,88,2,75,1,0,0,0,0,0.0
7,25,2018,14,0,4,351.0,12.0,29.25,0,0,0,20,1015,88,3,40,1,0,0,0,0,9.75
7,25,2018,14,0,4,5561.0,83.0,67.0,0,0,0,20,1015,88,3,40,1,0,0,0,0,0.0
7,25,2018,14,0,4,1720.0,54.0,31.85185185185185,0,0,0,20,1015,88,3,40,1,0,0,0,0,11.148148148148149
7,25,2018,15,0,4,351.0,15.0,23.4,1360,298,1,19,1015,88,3,40,1,0,0,0,0,15.600000000000001
7,25,2018,15,0,4,5561.0,372.0,14.948924731182796,0,0,0,19,1015,88,3,40,1,0,0,0,0,52.0510752688172
7,25,2018,15,0,4,1720.0,62.0,27.741935483870968,0,0,0,19,1015,88,3,40,1,0,0,0,0,15.258064516129032
7,25,2018,16,0,4,351.0,9.0,39.0,540,59,1,20,1015,82,2,20,1,0,0,0,0,0.0
7,25,2018,16,0,4,5561.0,279.0,19.93189964157706,320,554,1,20,1015,82,2,20,1,0,0,0,0,47.06810035842294
7,25,2018,16,0,4,1720.0,40.0,43.0,0,0,0,20,1015,82,2,20,1,0,0,0,0,0.0
7,25,2018,17,0,4,351.0,16.0,21.9375,470,31,1,19,1015,88,2,75,1,0,0,0,0,17.0625
7,25,2018,17,0,4,5561.0,147.0,37.82993197278912,0,0,0,19,1015,88,2,75,1,0,0,0,0,29.17006802721088
7,25,2018,17,0,4,1720.0,51.0,33.72549019607843,0,0,0,19,1015,88,2,75,1,0,0,0,0,9.274509803921568
7,25,2018,18,0,4,351.0,16.0,21.9375,0,0,0,18,1015,100,1,75,1,0,0,0,0,17.0625
7,25,2018,18,0,4,5561.0,293.0,18.97952218430034,210,165,1,18,1015,100,1,75,1,0,0,0,0,48.020477815699664
7,25,2018,18,0,4,1720.0,51.0,33.72549019607843,0,0,0,18,1015,100,1,75,1,0,0,0,0,9.274509803921568
7,25,2018,19,0,4,351.0,12.0,29.25,0,0,0,18,1016,100,2,75,1,0,0,0,0,9.75
7,25,2018,19,0,4,5561.0,107.0,51.97196261682243,0,0,0,18,1016,100,2,75,1,0,0,0,0,15.028037383177569
7,25,2018,19,0,4,1720.0,66.0,26.060606060606062,0,0,0,18,1016,100,2,75,1,0,0,0,0,16.939393939393938
7,25,2018,20,0,4,351.0,9.0,39.0,0,0,0,18,1016,93,3,75,1,0,0,0,0,0.0
7,25,2018,20,0,4,5561.0,83.0,67.0,0,0,0,18,1016,93,3,75,1,0,0,0,0,0.0
7,25,2018,20,0,4,1720.0,40.0,43.0,0,0,0,18,1016,93,3,75,1,0,0,0,0,0.0
7,25,2018,21,0,4,351.0,9.0,39.0,0,0,0,18,1016,100,3,75,1,0,0,0,0,0.0
7,25,2018,21,0,4,5561.0,83.0,67.0,0,0,0,18,1016,100,3,75,1,0,0,0,0,0.0
7,25,2018,21,0,4,1720.0,64.0,26.875,0,0,0,18,1016,100,3,75,1,0,0,0,0,16.125
7,25,2018,22,0,4,351.0,9.0,39.0,0,0,0,18,1016,100,2,75,1,0,0,0,0,0.0
7,25,2018,22,0,4,5561.0,109.0,51.018348623853214,0,0,0,18,1016,100,2,75,1,0,0,0,0,15.981651376146786
7,25,2018,22,0,4,1720.0,40.0,43.0,0,0,0,18,1016,100,2,75,1,0,0,0,0,0.0
7,25,2018,23,0,4,351.0,9.0,39.0,0,0,0,18,1016,100,3,75,1,0,0,0,0,0.0
7,25,2018,23,0,4,5561.0,83.0,67.0,0,0,0,18,1016,100,3,75,1,0,0,0,0,0.0
7,25,2018,23,0,4,1677.0,42.0,39.92857142857143,0,0,0,18,1016,100,3,75,1,0,0,0,0,3.0714285714285694
7,26,2018,0,0,5,351.0,9.0,39.0,0,0,0,18,1016,100,1,75,1,0,0,0,0,0.0
7,26,2018,0,0,5,5561.0,83.0,67.0,0,0,0,18,1016,100,1,75,1,0,0,0,0,0.0
7,26,2018,0,0,5,1720.0,40.0,43.0,0,0,0,18,1016,100,1,75,1,0,0,0,0,0.0
7,26,2018,1,0,5,351.0,9.0,39.0,0,0,0,18,1016,93,1,75,1,0,0,0,0,0.0
7,26,2018,1,0,5,5561.0,83.0,67.0,0,0,0,18,1016,93,1,75,1,0,0,0,0,0.0
7,26,2018,1,0,5,1720.0,40.0,43.0,0,0,0,18,1016,93,1,75,1,0,0,0,0,0.0
7,26,2018,2,0,5,351.0,9.0,39.0,0,0,0,18,1016,100,2,75,1,0,0,0,0,0.0
7,26,2018,2,0,5,5561.0,83.0,67.0,0,0,0,18,1016,100,2,75,1,0,0,0,0,0.0
7,26,2018,2,0,5,1720.0,40.0,43.0,0,0,0,18,1016,100,2,75,1,0,0,0,0,0.0
7,26,2018,3,0,5,351.0,9.0,39.0,0,0,0,18,1015,100,2,75,1,0,0,0,0,0.0
7,26,2018,3,0,5,5561.0,83.0,67.0,0,0,0,18,1015,100,2,75,1,0,0,0,0,0.0
7,26,2018,3,0,5,1720.0,40.0,43.0,0,0,0,18,1015,100,2,75,1,0,0,0,0,0.0
7,26,2018,4,0,5,351.0,9.0,39.0,0,0,0,18,1016,93,2,75,1,0,0,0,0,0.0
7,26,2018,4,0,5,5561.0,83.0,67.0,0,0,0,18,1016,93,2,75,1,0,0,0,0,0.0
7,26,2018,4,0,5,1720.0,40.0,43.0,0,0,0,18,1016,93,2,75,1,0,0,0,0,0.0
7,26,2018,5,0,5,351.0,9.0,39.0,0,0,0,18,1016,93,3,75,1,0,0,0,0,0.0
7,26,2018,5,0,5,5561.0,83.0,67.0,0,0,0,18,1016,93,3,75,1,0,0,0,0,0.0
7,26,2018,5,0,5,1720.0,40.0,43.0,0,0,0,18,1016,93,3,75,1,0,0,0,0,0.0
7,26,2018,6,0,5,351.0,9.0,39.0,0,0,0,18,1016,93,3,75,1,0,0,0,0,0.0
7,26,2018,6,0,5,5561.0,83.0,67.0,0,0,0,18,1016,93,3,75,1,0,0,0,0,0.0
7,26,2018,6,0,5,1720.0,40.0,43.0,0,0,0,18,1016,93,3,75,1,0,0,0,0,0.0
7,26,2018,7,0,5,351.0,9.0,39.0,0,0,0,19,1016,93,3,75,1,0,0,0,0,0.0
7,26,2018,7,0,5,5561.0,83.0,67.0,0,0,0,19,1016,93,3,75,1,0,0,0,0,0.0
7,26,2018,7,0,5,1720.0,52.0,33.07692307692308,0,0,0,19,1016,93,3,75,1,0,0,0,0,9.92307692307692
7,26,2018,8,0,5,351.0,9.0,39.0,0,0,0,19,1016,88,3,75,1,0,0,0,0,0.0
7,26,2018,8,0,5,5561.0,83.0,67.0,0,0,0,19,1016,88,3,75,1,0,0,0,0,0.0
7,26,2018,8,0,5,1720.0,157.0,10.955414012738853,0,0,0,19,1016,88,3,75,1,0,0,0,0,32.044585987261144
7,26,2018,9,0,5,351.0,9.0,39.0,0,0,0,20,1017,88,3,40,1,0,0,0,0,0.0
7,26,2018,9,0,5,5561.0,83.0,67.0,0,0,0,20,1017,88,3,40,1,0,0,0,0,0.0
7,26,2018,9,0,5,1720.0,40.0,43.0,0,0,0,20,1017,88,3,40,1,0,0,0,0,0.0
7,26,2018,10,0,5,351.0,9.0,39.0,0,0,0,21,1017,83,5,40,1,0,0,0,0,0.0
7,26,2018,10,0,5,5561.0,83.0,67.0,0,0,0,21,1017,83,5,40,1,0,0,0,0,0.0
7,26,2018,10,0,5,1720.0,40.0,43.0,0,0,0,21,1017,83,5,40,1,0,0,0,0,0.0
7,26,2018,11,0,5,351.0,9.0,39.0,0,0,0,21,1016,83,5,20,1,0,0,0,0,0.0
7,26,2018,11,0,5,5561.0,83.0,67.0,0,0,0,21,1016,83,5,20,1,0,0,0,0,0.0
7,26,2018,11,0,5,1720.0,40.0,43.0,0,0,0,21,1016,83,5,20,1,0,0,0,0,0.0
7,26,2018,12,0,5,351.0,9.0,39.0,0,0,0,22,1016,78,5,20,1,0,0,0,0,0.0
7,26,2018,12,0,5,5561.0,83.0,67.0,0,0,0,22,1016,78,5,20,1,0,0,0,0,0.0
7,26,2018,12,0,5,1720.0,40.0,43.0,0,0,0,22,1016,78,5,20,1,0,0,0,0,0.0
7,26,2018,13,0,5,351.0,12.0,29.25,0,0,0,21,1016,73,5,20,1,0,0,0,0,9.75
7,26,2018,13,0,5,5561.0,83.0,67.0,0,0,0,21,1016,73,5,20,1,0,0,0,0,0.0
7,26,2018,13,0,5,1720.0,40.0,43.0,0,0,0,21,1016,73,5,20,1,0,0,0,0,0.0
7,26,2018,14,0,5,351.0,9.0,39.0,0,0,0,22,1016,68,5,20,1,0,0,0,0,0.0
7,26,2018,14,0,5,5561.0,83.0,67.0,0,0,0,22,1016,68,5,20,1,0,0,0,0,0.0
7,26,2018,14,0,5,1720.0,40.0,43.0,0,0,0,22,1016,68,5,20,1,0,0,0,0,0.0
7,26,2018,15,0,5,351.0,16.0,21.9375,0,0,0,21,1016,73,5,0,1,0,0,0,0,17.0625
7,26,2018,15,0,5,5561.0,83.0,67.0,0,0,0,21,1016,73,5,0,1,0,0,0,0,0.0
7,26,2018,15,0,5,1720.0,40.0,43.0,0,0,0,21,1016,73,5,0,1,0,0,0,0,0.0
7,26,2018,16,0,5,351.0,9.0,39.0,0,0,0,21,1016,77,4,0,1,0,0,0,0,0.0
7,26,2018,16,0,5,5561.0,83.0,67.0,0,0,0,21,1016,77,4,0,1,0,0,0,0,0.0
7,26,2018,16,0,5,1720.0,40.0,43.0,0,0,0,21,1016,77,4,0,1,0,0,0,0,0.0
7,26,2018,17,0,5,351.0,13.0,27.0,0,0,0,20,1016,82,4,20,1,0,0,0,0,12.0
7,26,2018,17,0,5,5561.0,136.0,40.88970588235294,0,0,0,20,1016,82,4,20,1,0,0,0,0,26.110294117647058
7,26,2018,17,0,5,1720.0,69.0,24.92753623188406,0,0,0,20,1016,82,4,20,1,0,0,0,0,18.07246376811594
7,26,2018,18,0,5,351.0,14.0,25.071428571428573,710,109,1,21,1016,77,4,0,1,0,0,0,0,13.928571428571427
7,26,2018,18,0,5,5561.0,253.0,21.9802371541502,0,0,0,21,1016,77,4,0,1,0,0,0,0,45.0197628458498
7,26,2018,18,0,5,1720.0,58.0,29.655172413793103,0,0,0,21,1016,77,4,0,1,0,0,0,0,13.344827586206897
7,26,2018,19,0,5,351.0,9.0,39.0,0,0,0,19,1016,82,3,0,1,0,0,0,0,0.0
7,26,2018,19,0,5,5561.0,107.0,51.97196261682243,0,0,0,19,1016,82,3,0,1,0,0,0,0,15.028037383177569
7,26,2018,19,0,5,1720.0,56.0,30.714285714285715,0,0,0,19,1016,82,3,0,1,0,0,0,0,12.285714285714285
7,26,2018,20,0,5,351.0,9.0,39.0,0,0,0,18,1016,93,2,0,1,0,0,0,0,0.0
7,26,2018,20,0,5,5561.0,83.0,67.0,0,0,0,18,1016,93,2,0,1,0,0,0,0,0.0
7,26,2018,20,0,5,1720.0,40.0,43.0,0,0,0,18,1016,93,2,0,1,0,0,0,0,0.0
7,26,2018,21,0,5,351.0,9.0,39.0,0,0,0,18,1017,88,0,0,1,0,0,0,0,0.0
7,26,2018,21,0,5,5561.0,83.0,67.0,0,0,0,18,1017,88,0,0,1,0,0,0,0,0.0
7,26,2018,21,0,5,1720.0,40.0,43.0,0,0,0,18,1017,88,0,0,1,0,0,0,0,0.0
7,26,2018,22,0,5,351.0,9.0,39.0,0,0,0,16,1016,93,0,0,1,0,0,0,0,0.0
7,26,2018,22,0,5,5561.0,83.0,67.0,0,0,0,16,1016,93,0,0,1,0,0,0,0,0.0
7,26,2018,22,0,5,1720.0,40.0,43.0,0,0,0,16,1016,93,0,0,1,0,0,0,0,0.0
7,26,2018,23,0,5,351.0,9.0,39.0,0,0,0,16,1016,93,0,0,1,0,0,0,0,0.0
7,26,2018,23,0,5,5561.0,86.0,64.66279069767442,0,0,0,16,1016,93,0,0,1,0,0,0,0,2.3372093023255758
7,26,2018,23,0,5,1677.0,39.0,43.0,0,0,0,16,1016,93,0,0,1,0,0,0,0,0.0
7,27,2018,0,0,6,351.0,9.0,39.0,0,0,0,16,1016,100,0,75,1,0,0,0,0,0.0
7,27,2018,0,0,6,5561.0,83.0,67.0,0,0,0,16,1016,100,0,75,1,0,0,0,0,0.0
7,27,2018,0,0,6,1720.0,40.0,43.0,0,0,0,16,1016,100,0,75,1,0,0,0,0,0.0
7,27,2018,1,0,6,351.0,9.0,39.0,0,0,0,17,1016,93,0,75,1,0,0,0,0,0.0
7,27,2018,1,0,6,5561.0,83.0,67.0,0,0,0,17,1016,93,0,75,1,0,0,0,0,0.0
7,27,2018,1,0,6,1720.0,40.0,43.0,0,0,0,17,1016,93,0,75,1,0,0,0,0,0.0
7,27,2018,2,0,6,351.0,9.0,39.0,0,0,0,18,1015,93,0,75,1,0,0,0,0,0.0
7,27,2018,2,0,6,5561.0,83.0,67.0,0,0,0,18,1015,93,0,75,1,0,0,0,0,0.0
7,27,2018,2,0,6,1720.0,40.0,43.0,0,0,0,18,1015,93,0,75,1,0,0,0,0,0.0
7,27,2018,3,0,6,351.0,9.0,39.0,0,0,0,18,1015,93,0,75,1,0,0,0,0,0.0
7,27,2018,3,0,6,5561.0,83.0,67.0,0,0,0,18,1015,93,0,75,1,0,0,0,0,0.0
7,27,2018,3,0,6,1720.0,40.0,43.0,0,0,0,18,1015,93,0,75,1,0,0,0,0,0.0
7,27,2018,4,0,6,351.0,9.0,39.0,0,0,0,17,1015,100,3,75,1,0,0,0,0,0.0
7,27,2018,4,0,6,5561.0,83.0,67.0,0,0,0,17,1015,100,3,75,1,0,0,0,0,0.0
7,27,2018,4,0,6,1720.0,40.0,43.0,0,0,0,17,1015,100,3,75,1,0,0,0,0,0.0
7,27,2018,5,0,6,351.0,9.0,39.0,0,0,0,17,1015,100,1,75,1,0,0,0,0,0.0
7,27,2018,5,0,6,5561.0,83.0,67.0,0,0,0,17,1015,100,1,75,1,0,0,0,0,0.0
7,27,2018,5,0,6,1720.0,40.0,43.0,0,0,0,17,1015,100,1,75,1,0,0,0,0,0.0
7,27,2018,6,0,6,351.0,9.0,39.0,0,0,0,17,1015,97,1,75,1,0,0,0,0,0.0
7,27,2018,6,0,6,5561.0,83.0,67.0,0,0,0,17,1015,97,1,75,1,0,0,0,0,0.0
7,27,2018,6,0,6,1720.0,40.0,43.0,0,0,0,17,1015,97,1,75,1,0,0,0,0,0.0
7,27,2018,7,0,6,351.0,9.0,39.0,0,0,0,18,1015,93,1,90,1,0,0,0,0,0.0
7,27,2018,7,0,6,5561.0,83.0,67.0,0,0,0,18,1015,93,1,90,1,0,0,0,0,0.0
7,27,2018,7,0,6,1720.0,40.0,43.0,0,0,0,18,1015,93,1,90,1,0,0,0,0,0.0
7,27,2018,8,0,6,351.0,9.0,39.0,0,0,0,19,1016,88,1,40,1,0,0,0,0,0.0
7,27,2018,8,0,6,5561.0,83.0,67.0,0,0,0,19,1016,88,1,40,1,0,0,0,0,0.0
7,27,2018,8,0,6,1720.0,40.0,43.0,0,0,0,19,1016,88,1,40,1,0,0,0,0,0.0
7,27,2018,9,0,6,351.0,9.0,39.0,0,0,0,21,1016,68,1,40,1,0,0,0,0,0.0
7,27,2018,9,0,6,5561.0,83.0,67.0,0,0,0,21,1016,68,1,40,1,0,0,0,0,0.0
7,27,2018,9,0,6,1720.0,40.0,43.0,0,0,0,21,1016,68,1,40,1,0,0,0,0,0.0
7,27,2018,10,0,6,351.0,9.0,39.0,0,0,0,21,1016,77,3,75,1,0,0,0,0,0.0
7,27,2018,10,0,6,5561.0,83.0,67.0,0,0,0,21,1016,77,3,75,1,0,0,0,0,0.0
7,27,2018,10,0,6,1720.0,40.0,43.0,0,0,0,21,1016,77,3,75,1,0,0,0,0,0.0
7,27,2018,11,0,6,351.0,10.0,35.1,0,0,0,21,1016,77,2,40,1,0,0,0,0,3.8999999999999986
7,27,2018,11,0,6,5561.0,83.0,67.0,0,0,0,21,1016,77,2,40,1,0,0,0,0,0.0
7,27,2018,11,0,6,1677.0,47.0,35.680851063829785,0,0,0,21,1016,77,2,40,1,0,0,0,0,7.319148936170215
7,27,2018,12,0,6,351.0,10.0,35.1,0,0,0,22,1016,64,3,20,1,0,0,0,0,3.8999999999999986
7,27,2018,12,0,6,5561.0,83.0,67.0,0,0,0,22,1016,64,3,20,1,0,0,0,0,0.0
7,27,2018,12,0,6,1677.0,62.0,27.048387096774192,0,0,0,22,1016,64,3,20,1,0,0,0,0,15.951612903225808
7,27,2018,13,0,6,351.0,9.0,39.0,0,0,0,23,1015,49,3,20,1,0,0,0,0,0.0
7,27,2018,13,0,6,5561.0,83.0,67.0,0,0,0,23,1015,49,3,20,1,0,0,0,0,0.0
7,27,2018,13,0,6,1677.0,88.0,19.056818181818183,0,0,0,23,1015,49,3,20,1,0,0,0,0,23.943181818181817
7,27,2018,14,0,6,351.0,10.0,35.1,0,0,0,21,1016,77,3,20,1,0,0,0,0,3.8999999999999986
7,27,2018,14,0,6,5561.0,89.0,62.48314606741573,0,0,0,21,1016,77,3,20,1,0,0,0,0,4.516853932584269
7,27,2018,14,0,6,1677.0,45.0,37.266666666666666,0,0,0,21,1016,77,3,20,1,0,0,0,0,5.733333333333334
7,27,2018,15,0,6,351.0,12.0,29.25,0,0,0,21,1016,77,3,20,1,0,0,0,0,9.75
7,27,2018,15,0,6,5561.0,118.0,47.1271186440678,0,0,0,21,1016,77,3,20,1,0,0,0,0,19.8728813559322
7,27,2018,15,0,6,1677.0,48.0,34.9375,0,0,0,21,1016,77,3,20,1,0,0,0,0,8.0625
7,27,2018,16,0,6,351.0,10.0,35.1,0,0,0,21,1016,73,6,20,1,0,0,0,0,3.8999999999999986
7,27,2018,16,0,6,5561.0,114.0,48.780701754385966,0,0,0,21,1016,73,6,20,1,0,0,0,0,18.219298245614034
7,27,2018,16,0,6,1677.0,56.0,29.946428571428573,0,0,0,21,1016,73,6,20,1,0,0,0,0,13.053571428571427
7,27,2018,17,0,6,351.0,14.0,25.071428571428573,0,0,0,22,1016,68,4,20,1,0,0,0,0,13.928571428571427
7,27,2018,17,0,6,5561.0,142.0,39.16197183098591,0,0,0,22,1016,68,4,20,1,0,0,0,0,27.838028169014088
7,27,2018,17,0,6,1677.0,63.0,26.61904761904762,0,0,0,22,1016,68,4,20,1,0,0,0,0,16.38095238095238
7,27,2018,18,0,6,351.0,25.0,14.04,0,0,0,21,1016,68,5,20,1,0,0,0,0,24.96
7,27,2018,18,0,6,5561.0,285.0,19.512280701754385,0,0,0,21,1016,68,5,20,1,0,0,0,0,47.487719298245615
7,27,2018,18,0,6,1677.0,52.0,32.25,0,0,0,21,1016,68,5,20,1,0,0,0,0,10.75
7,27,2018,19,0,6,351.0,10.0,35.1,0,0,0,19,1016,77,3,0,1,0,0,0,0,3.8999999999999986
7,27,2018,19,0,6,5561.0,209.0,26.607655502392344,0,0,0,19,1016,77,3,0,1,0,0,0,0,40.39234449760765
7,27,2018,19,0,6,1677.0,46.0,36.45652173913044,0,0,0,19,1016,77,3,0,1,0,0,0,0,6.543478260869563
7,27,2018,20,0,6,351.0,10.0,35.1,0,0,0,19,1017,77,1,0,1,0,0,0,0,3.8999999999999986
7,27,2018,20,0,6,5561.0,83.0,67.0,0,0,0,19,1017,77,1,0,1,0,0,0,0,0.0
7,27,2018,20,0,6,1677.0,39.0,43.0,0,0,0,19,1017,77,1,0,1,0,0,0,0,0.0
7,27,2018,21,0,6,351.0,9.0,39.0,0,0,0,17,1017,88,1,0,1,0,0,0,0,0.0
7,27,2018,21,0,6,5561.0,85.0,65.4235294117647,0,0,0,17,1017,88,1,0,1,0,0,0,0,1.5764705882352956
7,27,2018,21,0,6,1677.0,39.0,43.0,0,0,0,17,1017,88,1,0,1,0,0,0,0,0.0
7,27,2018,22,0,6,351.0,9.0,39.0,0,0,0,17,1017,88,0,0,1,0,0,0,0,0.0
7,27,2018,22,0,6,5561.0,83.0,67.0,0,0,0,17,1017,88,0,0,1,0,0,0,0,0.0
7,27,2018,22,0,6,1677.0,42.0,39.92857142857143,0,0,0,17,1017,88,0,0,1,0,0,0,0,3.0714285714285694
7,27,2018,23,0,6,351.0,9.0,39.0,0,0,0,16,1017,93,0,0,1,0,0,0,0,0.0
7,27,2018,23,0,6,5561.0,83.0,67.0,0,0,0,16,1017,93,0,0,1,0,0,0,0,0.0
7,27,2018,23,0,6,1677.0,44.0,38.11363636363637,0,0,0,16,1017,93,0,0,1,0,0,0,0,4.886363636363633
8,1,2018,10,0,4,351.0,9.0,39.0,0,0,0,23,1017,69,2,0,1,0,0,0,0,0.0
8,1,2018,10,0,4,5561.0,83.0,67.0,0,0,0,23,1017,69,2,0,1,0,0,0,0,0.0
8,1,2018,10,0,4,1720.0,40.0,43.0,0,0,0,23,1017,69,2,0,1,0,0,0,0,0.0
8,1,2018,11,0,4,351.0,9.0,39.0,0,0,0,24,1016,64,3,0,1,0,0,0,0,0.0
8,1,2018,11,0,4,5561.0,83.0,67.0,0,0,0,24,1016,64,3,0,1,0,0,0,0,0.0
8,1,2018,11,0,4,1720.0,40.0,43.0,0,0,0,24,1016,64,3,0,1,0,0,0,0,0.0
8,1,2018,12,0,4,351.0,9.0,39.0,0,0,0,24,1016,60,4,0,1,0,0,0,0,0.0
8,1,2018,12,0,4,5561.0,83.0,67.0,0,0,0,24,1016,60,4,0,1,0,0,0,0,0.0
8,1,2018,12,0,4,1720.0,40.0,43.0,0,0,0,24,1016,60,4,0,1,0,0,0,0,0.0
8,1,2018,13,0,4,351.0,9.0,39.0,0,0,0,25,1015,57,4,0,1,0,0,0,0,0.0
8,1,2018,13,0,4,5561.0,83.0,67.0,0,0,0,25,1015,57,4,0,1,0,0,0,0,0.0
8,1,2018,13,0,4,1720.0,40.0,43.0,0,0,0,25,1015,57,4,0,1,0,0,0,0,0.0
8,1,2018,14,0,4,351.0,9.0,39.0,0,0,0,27,1015,54,4,0,1,0,0,0,0,0.0
8,1,2018,14,0,4,5561.0,83.0,67.0,0,0,0,27,1015,54,4,0,1,0,0,0,0,0.0
8,1,2018,14,0,4,1720.0,54.0,31.85185185185185,0,0,0,27,1015,54,4,0,1,0,0,0,0,11.148148148148149
8,1,2018,15,0,4,351.0,9.0,39.0,0,0,0,27,1014,51,4,0,1,0,0,0,0,0.0
8,1,2018,15,0,4,5561.0,83.0,67.0,0,0,0,27,1014,51,4,0,1,0,0,0,0,0.0
8,1,2018,15,0,4,1720.0,40.0,43.0,0,0,0,27,1014,51,4,0,1,0,0,0,0,0.0
8,1,2018,16,0,4,351.0,9.0,39.0,0,0,0,27,1014,47,5,0,1,0,0,0,0,0.0
